# T650 raw capture: /dev/hidraw4 (receiver 046d:c52b), device index 1
# cols: t_ms dt_ms  raw_hex  | decoded
  2436.79    0.00  11 01 0f 00 00 07 06 96 44 11 00 0c 11 00 00 00 00 00 00 01  | ts=    7 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1686 y=1041 yf=1323 z=  0 a= 12]
  2444.82    8.03  11 01 0f 00 00 0e 06 96 44 11 00 0c 11 00 00 00 00 00 00 01  | ts=   14 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1686 y=1041 yf=1323 z=  0 a= 12]
  2460.61   15.79  11 01 0f 00 00 18 06 97 44 12 00 0f 11 00 00 00 00 00 00 01  | ts=   24 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1687 y=1042 yf=1322 z=  0 a= 15]
  2466.75    6.14  11 01 0f 00 00 23 06 97 44 13 00 0f 11 00 00 00 00 00 00 01  | ts=   35 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1687 y=1043 yf=1321 z=  0 a= 15]
  2474.63    7.88  11 01 0f 00 00 2e 06 97 44 14 00 0c 11 00 00 00 00 00 00 01  | ts=   46 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1687 y=1044 yf=1320 z=  0 a= 12]
  2490.76   16.13  11 01 0f 00 00 39 06 97 44 14 00 0c 11 00 00 00 00 00 00 01  | ts=   57 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1687 y=1044 yf=1320 z=  0 a= 12]
  2498.62    7.86  11 01 0f 00 00 44 06 97 44 14 00 0c 11 00 00 00 00 00 00 01  | ts=   68 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1687 y=1044 yf=1320 z=  0 a= 12]
  2506.70    8.08  11 01 0f 00 00 4e 06 97 44 14 00 0c 11 00 00 00 00 00 00 01  | ts=   78 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1687 y=1044 yf=1320 z=  0 a= 12]
  2522.68   15.98  11 01 0f 00 00 59 06 97 44 13 00 10 11 00 00 00 00 00 00 01  | ts=   89 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1687 y=1043 yf=1321 z=  0 a= 16]
  2530.72    8.04  11 01 0f 00 00 64 06 97 44 0d 00 0c 11 00 00 00 00 00 00 01  | ts=  100 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1687 y=1037 yf=1327 z=  0 a= 12]
  2538.62    7.90  11 01 0f 00 00 6e 06 90 43 f7 00 14 11 00 00 00 00 00 00 01  | ts=  110 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1680 y=1015 yf=1349 z=  0 a= 20]
  2554.69   16.07  11 01 0f 00 00 79 06 84 43 d9 00 10 11 00 00 00 00 00 00 01  | ts=  121 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1668 y= 985 yf=1379 z=  0 a= 16]
  2562.75    8.06  11 01 0f 00 00 84 06 77 43 b8 00 0c 11 00 00 00 00 00 00 01  | ts=  132 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1655 y= 952 yf=1412 z=  0 a= 12]
  2568.70    5.95  11 01 0f 00 00 8e 06 67 43 95 00 10 11 00 00 00 00 00 00 01  | ts=  142 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1639 y= 917 yf=1447 z=  0 a= 16]
  2584.70   16.00  11 01 0f 00 00 99 06 5d 43 7f 00 10 11 00 00 00 00 00 00 01  | ts=  153 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1629 y= 895 yf=1469 z=  0 a= 16]
  2592.69    7.99  11 01 0f 00 00 a4 06 55 43 70 00 10 11 00 00 00 00 00 00 01  | ts=  164 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1621 y= 880 yf=1484 z=  0 a= 16]
  2600.68    7.99  11 01 0f 00 00 ae 06 50 43 67 00 10 11 00 00 00 00 00 00 01  | ts=  174 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1616 y= 871 yf=1493 z=  0 a= 16]
  2616.69   16.01  11 01 0f 00 00 b9 06 4c 43 61 00 14 11 00 00 00 00 00 00 01  | ts=  185 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1612 y= 865 yf=1499 z=  0 a= 20]
  2624.69    8.00  11 01 0f 00 00 c4 06 49 43 5c 00 10 11 00 00 00 00 00 00 01  | ts=  196 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1609 y= 860 yf=1504 z=  0 a= 16]
  2632.71    8.02  11 01 0f 00 00 cf 06 47 43 59 00 10 11 00 00 00 00 00 00 01  | ts=  207 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1607 y= 857 yf=1507 z=  0 a= 16]
  2648.68   15.97  11 01 0f 00 00 d9 06 46 43 57 00 10 11 00 00 00 00 00 00 01  | ts=  217 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1606 y= 855 yf=1509 z=  0 a= 16]
  2656.67    7.99  11 01 0f 00 00 e4 06 45 43 55 00 10 11 00 00 00 00 00 00 01  | ts=  228 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1605 y= 853 yf=1511 z=  0 a= 16]
